Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic
19,0.9944662525264671,1145.3024029862793,67,0.9936063867953511,1034.9084215030598,115,0.9941933136560513,995.0083693306269,163,0.9950473447430428,991.4045540391746,211,0.9952896988115914,965.628473830504,259,0.996102048775233,975.1366323155916,307,0.9970533891139106,1010.4855966784737
20,0.9944634192197758,1144.3133044770152,68,0.993615137713334,1033.8334286278325,116,0.9942058689922298,994.07222478047,164,0.9950647628605258,991.3958905017637,212,0.995313238864895,966.0785858847249,260,0.9961833933731556,979.2960492102699,308,0.997096088500146,1013.3357100307375
21,0.9944305384434089,1141.1970226497958,69,0.9936159040752014,1032.0830183763019,117,0.99421262624704,993.1438915640995,165,0.9950312488082333,988.4401435026388,213,0.9953183311728768,965.5827069903049,261,0.996179557082151,978.3226310914755,309,0.9971045019450483,1014.8783911044534
22,0.9944103907057015,1139.4144133222042,70,0.9936195944252297,1030.7821820460904,118,0.9942678667849782,995.320324898472,166,0.9950391257738381,988.047620026082,214,0.9953404149913849,965.8734173991131,262,0.9961850134863471,977.6199422010019,310,0.9971338462270541,1017.4755147298018
23,0.9944059273705751,1139.1800053891673,71,0.9936944776492599,1034.7632973389898,119,0.9942910782351616,995.8234460987189,167,0.9950787646148949,989.8123173842921,215,0.9953562370005503,965.1844071943917,263,0.9962024008487025,979.0041266481104,311,0.9971721224885275,1021.7684376038591
24,0.9943606979383741,1133.1280788161732,72,0.9936635920147612,1030.931423688682,120,0.9942722526161708,993.1543037630303,168,0.9950873020154428,989.7930591096365,216,0.9953707118814491,964.9146420045734,264,0.9961767022356719,977.3085317272026,312,0.9971816314507964,1021.8505954440872
25,0.9943812961749365,1134.0827162648031,73,0.9936889202086143,1031.945129011115,121,0.9942825387874711,992.5001316709461,169,0.9950795852181039,989.0930314747649,217,0.9954225454736229,966.9160238109754,265,0.9961873446223996,977.8610071551857,313,0.9971907863068801,1022.5708355209697
26,0.9944086959259377,1136.0975771227627,74,0.993692063563841,1031.4203697731962,122,0.9943075944608788,993.1134859714344,170,0.9950950307739568,989.515793776621,218,0.9954610650365454,968.1912459536869,266,0.9962228347477551,979.4231795109065,314,0.9971930089212069,1023.0512105814977
27,0.9943912219148531,1133.0644700325315,75,0.993641834674489,1026.5598679293405,123,0.9942633946321489,989.2043630882032,171,0.9950797035361938,987.6469454495842,219,0.9954912567618439,969.1579529934922,267,0.9962466065853866,981.1941263917219,315,0.9971921900168202,1022.9893065893883
28,0.994339428204997,1126.9911729295907,76,0.9936032297015824,1021.7460760284603,124,0.9942451757363566,987.0683677396994,172,0.995128265849616,989.9022364370098,220,0.9955430455871253,971.1562962639057,268,0.9962822259117449,983.797618738771,316,0.9972053279633786,1023.7327372173108
